(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     275.36     236.00     1.00  2092.00
SETRPC              78358       1.93       2.00     1.00     5.00
VLW12_V            139264      13.91       2.00     1.00  1910.00
VLW_V                   1    2647.00    2647.00  2647.00  2647.00

(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 3
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.00       6.00     6.00     6.00
ADDI                65570       2.51       2.00     1.00    39.00
AUIPC               78363       5.97       2.00     1.00    62.00
BEQ                     1       7.00       7.00     7.00     7.00
BGE                   273       9.34       9.00     4.00    18.00
CSRRS                   9       6.33       6.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.91       1.00     0.00    20.00
JALR                   12       2.67       1.50     1.00    11.00
JOIN                12820       8.53       7.00     2.00    17.00
LUI                  8705       4.92       2.00     1.00    15.00
LW                   8730     261.27     211.00     4.00  1880.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC              78358       6.38       6.00     3.00    11.00
SW                     13      99.31       4.00     4.00   624.00
VADD12_VI           69904      10.73      13.00     1.00    19.00
VADD_VI             65536       3.69       3.00     1.00    16.00
VADD_VV             78355       5.33       5.00     2.00    19.00
VADD_VX             78086      23.59      11.00     8.00  1963.00
VAND_VV              8448      12.37      12.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.85      12.00     1.00    15.00
VID_V                   2       7.50       7.50     5.00    10.00
VLW12_V            139264      16.83       5.00     1.00  1747.00
VLW_V                   1     413.00     413.00   413.00   413.00
VMADD_VX             4096      11.38      11.00    11.00    13.00
VMSLT_VX            16896      12.00      10.50     1.00    30.00
VMUL_VX                32       6.75       6.50     3.00    12.00
VREMU_VX                2      71.00      71.00     1.00   141.00
VSETVLI                 1       7.00       7.00     7.00     7.00
VSLL_VI              8452       8.12       8.00     4.00    10.00
VSW12_V              8448       5.29       5.00     4.00     7.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   8730     269.32     220.00     1.00  1890.00
SETRPC              78358       1.94       2.00     1.00     5.00
VLW12_V            139264      13.82       1.00     1.00  1750.00
VLW_V                   1    3523.00    3523.00  3523.00  3523.00

(base) PS E:\log> python calc_cpi.py 256256256.log --ns-per-cycle 10 --sm 1 --warp 4
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                65570       2.52       2.00     1.00    13.00
AUIPC               78363       5.97       2.00     1.00   344.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                   273       9.32       9.00     3.00    18.00
CSRRS                   9      28.11       5.00     4.00   132.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                149112       5.92       1.00     0.00    20.00
JALR                   12       3.17       1.50     1.00    13.00
JOIN                12820       8.52       7.00     2.00    17.00
LUI                  8705       4.99       2.00     1.00    15.00
LW                   8730     260.10     211.00     2.00  1897.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC              78358       6.38       6.00     3.00    11.00
SW                     13      63.38       4.00     4.00   662.00
VADD12_VI           69904      10.72      13.00     1.00    20.00
VADD_VI             65536       3.68       3.00     1.00    16.00
VADD_VV             78355       5.33       5.00     2.00    19.00
VADD_VX             78086      23.68      11.00     8.00  1909.00
VAND_VV              8448      12.40      12.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV           65536      10.86      12.00     1.00    15.00
VID_V                   2       6.00       6.00     5.00     7.00
VLW12_V            139264      16.86       5.00     1.00  1787.00
VLW_V                   1     114.00     114.00   114.00   114.00
VMADD_VX             4096      11.37      11.00    11.00    13.00
VMSLT_VX            16896      11.97      10.50     1.00    30.00
VMUL_VX                32       6.47       6.50     3.00    12.00
VREMU_VX                2       9.00       9.00     8.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              8452       8.12       8.00     4.00    12.00
VSW12_V              8448       5.28       5.00     4.00     7.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
