(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2      10.50      10.50    10.00    11.00
ADDI                 8226       2.55       2.00     1.00    10.00
AUIPC                9875       5.97       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.66       9.00     4.00    17.00
CSRRS                   9       7.33       6.00     4.00    16.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.93       1.00     0.00    20.00
JALR                   12       2.92       2.00     1.00    10.00
JOIN                 1676       8.27       6.00     3.00    17.00
LUI                  1153       6.09       8.00     1.00    15.00
LW                   1178     231.26     145.00     4.00  2355.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC               9870       6.30       6.00     3.00    11.00
SW                     13      62.08       5.00     4.00   679.00
VADD12_VI            8776      10.64      13.00     1.00    19.00
VADD_VI              8192       3.67       3.00     1.00    16.00
VADD_VX              9798      28.63      11.00     1.00  2161.00
VAND_VV              1088      12.20      12.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.84      12.00     1.00    15.00
VID_V                   2       6.00       6.00     6.00     6.00
VLW12_V             17408      23.05       5.00     1.00  2009.00
VLW_V                   1       7.00       7.00     7.00     7.00
VMADD_VX              512      11.07      11.00    11.00    12.00
VMSLT_VX             2176      11.49      10.50     1.00    30.00
VMUL_VX                16       7.31       6.50     2.00    12.00
VREMU_VX                2       6.00       6.00     2.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              1092       8.03       8.00     5.00    18.00
VSW12_V              1088       5.14       5.00     5.00     7.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     239.44     154.00     1.00  2360.00
SETRPC               9870       1.89       2.00     1.00     5.00
VLW12_V             17408      20.04       1.00     1.00  2023.00
VLW_V                   1    2806.00    2806.00  2806.00  2806.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 1
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2      10.50      10.50    10.00    11.00
ADDI                 8226       2.56       2.00     1.00    10.00
AUIPC                9875       6.07       2.00     1.00   185.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.48       9.00     3.00    18.00
CSRRS                   9       6.56       6.00     4.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.92       1.00     0.00    20.00
JALR                   12       2.75       2.00     1.00    11.00
JOIN                 1676       8.26       6.00     2.00    17.00
LUI                  1153       5.35       8.00     1.00    14.00
LW                   1178     236.94     165.50     2.00  2182.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               9870       6.32       6.00     3.00    11.00
SW                     13      10.77       4.00     4.00    53.00
VADD12_VI            8776      10.59      13.00     1.00    19.00
VADD_VI              8192       3.67       3.00     1.00    16.00
VADD_VX              9798      28.11      11.00     7.00  2215.00
