(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 0
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
VAND_VV              1088      11.76      12.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.85      12.00     1.00    15.00
VID_V                   2       4.50       4.50     3.00     6.00
VLW12_V             17408      22.99       5.00     1.00  1910.00
VLW_V                   1      10.00      10.00    10.00    10.00
VMADD_VX              512      11.13      11.00    11.00    12.00
VMSLT_VX             2176      11.79      10.50     1.00    30.00
VMUL_VX                16       6.00       6.00     3.00     9.00
VREMU_VX                2       9.00       9.00     9.00     9.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              1092       8.08       8.00     4.00    12.00
VSW12_V              1088       5.08       5.00     4.00     7.00
VSW_V                   1     111.00     111.00   111.00   111.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.67       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     245.29     174.00     1.00  2192.00
SETRPC               9870       1.91       2.00     1.00     5.00
VLW12_V             17408      19.98       1.00     1.00  1924.00
VLW_V                   1    2725.00    2725.00  2725.00  2725.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 2
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.00       6.00     6.00     6.00
ADDI                 8226       2.56       2.00     1.00   136.00
AUIPC                9875       5.96       2.00     1.00    61.00
BEQ                     1       7.00       7.00     7.00     7.00
BGE                    73       9.30       9.00     2.00    14.00
CSRRS                   9       5.89       5.00     3.00     9.00
CSRRW                   1       8.00       8.00     8.00     8.00
JAL                 18888       5.92       1.00     0.00    20.00
JALR                   12       3.00       1.50     1.00    13.00
JOIN                 1676       8.28       6.00     3.00    17.00
LUI                  1153       5.94       8.00     1.00    15.00
LW                   1178     235.72     154.00     2.00  2165.00
MUL                     3       9.33      10.00     8.00    10.00
SETRPC               9870       6.31       6.00     3.00    11.00
SW                     13      41.85       4.00     4.00   307.00
VADD12_VI            8776      10.61      13.00     1.00    18.00
VADD_VI              8192       3.69       3.00     1.00    16.00
VADD_VV              9867       5.43       5.00     2.00   104.00
VADD_VX              9798      29.86      11.00     8.00  2161.00
VAND_VV              1088      12.36      12.00     6.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.82      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V             17408      22.07       5.00     1.00  1856.00
VLW_V                   1     132.00     132.00   132.00   132.00
VMADD_VX              512      11.07      11.00    11.00    12.00
VMSLT_VX             2176      11.54      11.00     1.00    30.00
VMUL_VX                16       6.00       6.00     4.00     8.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       7.00       7.00     7.00     7.00
VSLL_VI              1092       8.07       8.00     2.00    11.00
VSW12_V              1088       5.09       5.00     4.00     7.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     244.59     163.00     1.00  2175.00
SETRPC               9870       1.91       2.00     1.00     5.00
VLW12_V             17408      19.06       1.00     1.00  1873.00
VLW_V                   1    2647.00    2647.00  2647.00  2647.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 3
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.00       6.00     6.00     6.00
ADDI                 8226       2.55       2.00     1.00    39.00
AUIPC                9875       5.95       2.00     1.00    61.00
BEQ                     1       7.00       7.00     7.00     7.00
BGE                    73       9.59       9.00     4.00    17.00
CSRRS                   9       6.33       6.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.93       1.00     0.00    20.00
JALR                   12       2.67       1.50     1.00    11.00
JOIN                 1676       8.28       6.00     3.00    17.00
LUI                  1153       6.04       8.00     1.00    15.00
LW                   1178     228.82     146.00     4.00  2338.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               9870       6.30       6.00     3.00    11.00
SW                     13      99.31       4.00     4.00   624.00
VADD12_VI            8776      10.64      13.00     1.00    19.00
VADD_VI              8192       3.67       3.00     1.00    16.00
VADD_VV              9867       5.41       5.00     2.00    18.00
VADD_VX              9798      28.65      11.00     8.00  2022.00
VAND_VV              1088      12.22      12.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.84      12.00     1.00    15.00
VID_V                   2       7.50       7.50     5.00    10.00
VLW12_V             17408      23.15       5.00     1.00  2012.00
VLW_V                   1     413.00     413.00   413.00   413.00
VMADD_VX              512      11.06      11.00    11.00    12.00
VMSLT_VX             2176      11.52      10.50     1.00    30.00
VMUL_VX                16       7.19       6.50     4.00    12.00
VREMU_VX                2      71.00      71.00     1.00   141.00
VSETVLI                 1       7.00       7.00     7.00     7.00
VSLL_VI              1092       8.02       8.00     4.00    10.00
VSW12_V              1088       5.13       5.00     5.00     7.00
VSW_V                   1       8.00       8.00     8.00     8.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.22       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     236.86     154.00     1.00  2344.00
SETRPC               9870       1.89       2.00     1.00     5.00
VLW12_V             17408      20.15       1.00     1.00  2026.00
VLW_V                   1    3523.00    3523.00  3523.00  3523.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 4
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                 8226       2.56       2.00     1.00    13.00
AUIPC                9875       6.03       2.00     1.00   344.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.44       9.00     3.00    15.00
CSRRS                   9      28.11       5.00     4.00   132.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.93       1.00     0.00    20.00
JALR                   12       3.00       1.50     1.00    11.00
JOIN                 1676       8.31       6.00     3.00    17.00
LUI                  1153       6.00       8.00     1.00    14.00
LW                   1178     232.21     146.00     2.00  2317.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC               9870       6.30       6.00     3.00    11.00
SW                     13      63.38       4.00     4.00   662.00
VADD12_VI            8776      10.60      13.00     1.00    18.00
VADD_VI              8192       3.68       3.00     1.00    16.00
VADD_VV              9867       5.47       5.00     2.00    19.00
VADD_VX              9798      28.44      11.00     8.00  2022.00
VAND_VV              1088      12.20      12.00     7.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.83      12.00     1.00    15.00
VID_V                   2       6.00       6.00     5.00     7.00
VLW12_V             17408      23.05       5.00     1.00  1895.00
VLW_V                   1     114.00     114.00   114.00   114.00
VMADD_VX              512      11.07      11.00    11.00    12.00
VMSLT_VX             2176      11.34      10.50     1.00    30.00
VMUL_VX                16       6.25       6.00     3.00    10.00
VREMU_VX                2       9.00       9.00     8.00    10.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              1092       8.08       8.00     4.00    12.00
VSW12_V              1088       5.12       5.00     5.00     7.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.33       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     240.70     154.00     1.00  2327.00
SETRPC               9870       1.89       2.00     1.00     5.00
VLW12_V             17408      20.04       1.00     1.00  1909.00
VLW_V                   1    3019.00    3019.00  3019.00  3019.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 5
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       9.00       9.00     7.00    11.00
ADDI                 8226       2.55       2.00     1.00    11.00
AUIPC                9875       5.98       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.32       9.00     3.00    14.00
CSRRS                   9       6.22       5.00     4.00    10.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.93       1.00     0.00    20.00
JALR                   12       2.75       1.00     1.00    13.00
JOIN                 1676       8.26       6.00     3.00    17.00
LUI                  1153       5.98       8.00     1.00    15.00
LW                   1178     240.50     154.00     1.00  2149.00
MUL                     3       8.33       8.00     8.00     9.00
SETRPC               9870       6.31       6.00     3.00    11.00
SW                     13      16.15       4.00     4.00   159.00
VADD12_VI            8776      10.61      13.00     1.00    18.00
VADD_VI              8192       3.69       3.00     1.00    16.00
VADD_VV              9867       5.42       5.00     2.00    18.00
VADD_VX              9798      29.49      11.00     1.00  2101.00
VAND_VV              1088      12.36      12.00     9.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.82      12.00     1.00    15.00
VID_V                   2       5.00       5.00     4.00     6.00
VLW12_V             17408      21.97       5.00     1.00  1839.00
VLW_V                   1      11.00      11.00    11.00    11.00
VMADD_VX              512      11.06      11.00    11.00    12.00
VMSLT_VX             2176      11.53      10.50     1.00    30.00
VMUL_VX                16       6.00       6.00     4.00     8.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       6.00       6.00     6.00     6.00
VSLL_VI              1092       8.07       8.00     4.00    14.00
VSW12_V              1088       5.11       5.00     4.00     7.00
VSW_V                   1     103.00     103.00   103.00   103.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     249.27     163.00     1.00  2158.00
SETRPC               9870       1.91       2.00     1.00     5.00
VLW12_V             17408      18.97       1.00     1.00  1854.00
VLW_V                   1    2863.00    2863.00  2863.00  2863.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 6
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                 8226       2.56       2.00     1.00    10.00
AUIPC                9875       6.07       2.00     1.00   182.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.56       9.00     4.00    18.00
CSRRS                   9       6.11       5.00     3.00    11.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.92       1.00     0.00    20.00
JALR                   12       2.67       1.00     1.00    11.00
JOIN                 1676       8.25       6.00     2.00    17.00
LUI                  1153       5.35       8.00     1.00    14.00
LW                   1178     239.48     165.00     2.00  2137.00
MUL                     3       8.67       8.00     8.00    10.00
SETRPC               9870       6.32       6.00     3.00    11.00
SW                     13      14.92       4.00     4.00   143.00
VADD12_VI            8776      10.59      13.00     1.00    19.00
VADD_VI              8192       3.67       3.00     1.00    16.00
VADD_VV              9867       5.42       5.00     2.00    18.00
VADD_VX              9798      28.00      11.00     1.00  1912.00
VAND_VV              1088      11.75      12.00     1.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.85      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V             17408      22.88       5.00     1.00  1986.00
VLW_V                   1       9.00       9.00     9.00     9.00
VMADD_VX              512      11.12      11.00    11.00    12.00
VMSLT_VX             2176      11.80      10.50     1.00    30.00
VMUL_VX                16       6.06       6.50     3.00     9.00
VREMU_VX                2       8.50       8.50     8.00     9.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI              1092       8.07       8.00     4.00    10.00
VSW12_V              1088       5.09       5.00     4.00     7.00
VSW_V                   1     112.00     112.00   112.00   112.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.56       2.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     248.37     174.00     1.00  2147.00
SETRPC               9870       1.91       2.00     1.00     5.00
VLW12_V             17408      19.87       1.00     1.00  2001.00
VLW_V                   1    2584.00    2584.00  2584.00  2584.00

(base) PS E:\log> python calc_cpi.py 128128128.log --ns-per-cycle 10 --sm 1 --warp 7
[Throughput CPI] ns_per_cycle=10 ns
OPCODE              COUNT    AVG_CPI    MED_CPI      MIN      MAX
ADD                     2       6.50       6.50     6.00     7.00
ADDI                 8226       2.56       2.00     1.00    40.00
AUIPC                9875       6.01       2.00     1.00   181.00
BEQ                     1       6.00       6.00     6.00     6.00
BGE                    73       9.49       9.00     4.00    15.00
CSRRS                   9      71.44       6.00     4.00   595.00
CSRRW                   1       5.00       5.00     5.00     5.00
JAL                 18888       5.93       1.00     0.00    20.00
JALR                   12       3.00       2.00     1.00    11.00
JOIN                 1676       8.30       6.00     3.00    17.00
LUI                  1153       6.00       8.00     1.00    14.00
LW                   1178     231.01     152.00     4.00  2300.00
MUL                     3       9.00       9.00     8.00    10.00
SETRPC               9870       6.30       6.00     3.00    11.00
SW                     13       8.08       4.00     4.00    36.00
VADD12_VI            8776      10.60      13.00     1.00    18.00
VADD_VI              8192       3.68       3.00     1.00    16.00
VADD_VV              9867       5.47       5.00     2.00    19.00
VADD_VX              9798      28.66      11.00     8.00  1810.00
VAND_VV              1088      12.20      12.00     8.00    15.00
VDIVU_VX                1       9.00       9.00     9.00     9.00
VFMADD_VV            8192      10.83      12.00     1.00    15.00
VID_V                   2       5.00       5.00     5.00     5.00
VLW12_V             17408      23.02       5.00     1.00  1942.00
VLW_V                   1     308.00     308.00   308.00   308.00
VMADD_VX              512      11.09      11.00    11.00    12.00
VMSLT_VX             2176      11.35      10.50     1.00    30.00
VMUL_VX                16       6.31       6.50     3.00    10.00
VREMU_VX                2       5.00       5.00     2.00     8.00
VSETVLI                 1       5.00       5.00     5.00     5.00
VSLL_VI              1092       8.07       8.00     4.00    10.00
VSW12_V              1088       5.14       5.00     5.00     7.00
VSW_V                   1       9.00       9.00     9.00     9.00

[Latency issue->done] ns_per_cycle=10 ns (仅统计 latency>0 的指令)
OPCODE              COUNT    AVG_LAT    MED_LAT      MIN      MAX
CSRRS                   9       1.44       1.00     1.00     2.00
CSRRW                   1       1.00       1.00     1.00     1.00
LW                   1178     239.14     163.00     1.00  2311.00
SETRPC               9870       1.89       2.00     1.00     5.00
VLW12_V             17408      20.01       1.00     1.00  1957.00
VLW_V                   1    3353.00    3353.00  3353.00  3353.00
