event_id,sm,warp,regext_time_ns,regext_pc,regext_op,regext_line,prev_time_ns,prev_pc,prev_op,prev_line,next_time_ns,next_pc,next_op,next_line,next_has_is_used
157,1,5,216677865,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @216677865ns,1 [trace decode.cpp:72]",216677865,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @216677865ns,1 [trace exec_salu.cpp:108]",216677875,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @216677875ns,1 [trace regfile.cpp:87]",0
158,1,6,216677875,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @216677875ns,1 [trace decode.cpp:72]",216677875,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @216677875ns,1 [trace exec_salu.cpp:108]",216677885,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @216677885ns,1 [trace regfile.cpp:87]",0
160,1,4,216677855,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @216677855ns,1 [trace decode.cpp:72]",216677805,0x80000184,BGE,"SM 1 warp 4 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @216677805ns,1 [trace exec_salu.cpp:339]",216677895,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @216677895ns,1 [trace exec_salu.cpp:108]",0
162,1,0,216677895,0x800001b4,REGEXT,"SM 1 warp 0 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @216677895ns,1 [trace decode.cpp:72]",216677845,0x80000184,BGE,"SM 1 warp 0 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @216677845ns,1 [trace exec_salu.cpp:339]",216677915,0x80000188,JAL,"SM 1 warp 0 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @216677915ns,1 [trace exec_salu.cpp:108]",0
169,1,5,244946385,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @244946385ns,1 [trace decode.cpp:72]",244946385,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @244946385ns,1 [trace exec_salu.cpp:108]",244946395,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @244946395ns,1 [trace regfile.cpp:87]",0
170,1,4,244946395,0x800001b4,REGEXT,"SM 1 warp 4 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @244946395ns,1 [trace decode.cpp:72]",244946395,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @244946395ns,1 [trace exec_salu.cpp:108]",244946405,0x80000188,JAL,"SM 1 warp 4 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @244946405ns,1 [trace regfile.cpp:87]",0
172,1,2,244946375,0x800001b4,REGEXT,"SM 1 warp 2 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @244946375ns,1 [trace decode.cpp:72]",244946325,0x80000184,BGE,"SM 1 warp 2 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @244946325ns,1 [trace exec_salu.cpp:339]",244946415,0x80000188,JAL,"SM 1 warp 2 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @244946415ns,1 [trace exec_salu.cpp:108]",0
174,1,6,244946415,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @244946415ns,1 [trace decode.cpp:72]",244946365,0x80000184,BGE,"SM 1 warp 6 0x80000184               BGE_0x02905e63 mask=FFFFFFFF, JUMP=false @244946365ns,1 [trace exec_salu.cpp:339]",244946435,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @244946435ns,1 [trace exec_salu.cpp:108]",0
181,1,5,271862235,0x800001b4,REGEXT,"SM 1 warp 5 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @271862235ns,1 [trace decode.cpp:72]",271862235,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @271862235ns,1 [trace exec_salu.cpp:108]",271862245,0x80000188,JAL,"SM 1 warp 5 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @271862245ns,1 [trace regfile.cpp:87]",0
182,1,6,271862245,0x800001b4,REGEXT,"SM 1 warp 6 0x800001b4            REGEXT_0x0010200b REGEXT(s3,s2,s1,d)=0,0,0,1 @271862245ns,1 [trace decode.cpp:72]",271862245,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f JUMP=true, jumpTO 0x8000018c @271862245ns,1 [trace exec_salu.cpp:108]",271862255,0x80000188,JAL,"SM 1 warp 6 0x80000188               JAL_0x0040006f WB x[000]=0x8000018c @271862255ns,1 [trace regfile.cpp:87]",0
