event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
65,mode2,1,4,135847545,0x800001b4,REGEXT,135847545,0x80000188,JAL,135847555,0x80000188,JAL
64,mode1,1,5,135847535,0x800001b4,REGEXT,135847485,0x80000184,BGE,135847575,0x80000188,JAL
69,mode1,1,1,135847575,0x800001b4,REGEXT,135847525,0x80000184,BGE,135847595,0x80000188,JAL
67,mode2,1,7,135847555,0x800001b4,REGEXT,135847555,0x80000188,JAL,135847565,0x80000188,JAL
70,other,1,3,135847585,0x800001b4,REGEXT,135847575,0x8000018c,VADD,135847655,0x80000190,VMUL
68,other,1,2,135847575,0x800001b4,REGEXT,135847565,0x8000018c,VADD,135847645,0x80000190,VMUL
66,other,1,6,135847555,0x800001b4,REGEXT,135847545,0x8000018c,VADD,135847625,0x80000190,VMUL
73,other,1,0,135847685,0x800001b4,REGEXT,135847675,0x8000018c,VADD,135847765,0x80000190,VMUL
74,other,1,5,135847695,0x800001b4,REGEXT,135847685,0x8000018c,VADD,135867405,0x800002b0,VLW12
71,other,1,4,135847665,0x800001b4,REGEXT,135847655,0x8000018c,VADD,135864855,0x800002b8,VSW12
75,other,1,1,135847715,0x800001b4,REGEXT,135847705,0x8000018c,VADD,135867885,0x800002b0,VLW12
72,other,1,7,135847675,0x800001b4,REGEXT,135847665,0x8000018c,VADD,135867155,0x800002b8,VSW12
