event_id,mode,sm,warp,regext_time_ns,regext_pc,regext_op,prev_time_ns,prev_pc,prev_op,next_time_ns,next_pc,next_op
277,other,1,1,595993805,0x800001b4,REGEXT,595993795,0x8000018c,VADD,595993885,0x80000190,VMUL
274,other,1,2,595993705,0x800001b4,REGEXT,595993695,0x8000018c,VADD,595993775,0x80000190,VMUL
273,other,1,3,595993695,0x800001b4,REGEXT,595993685,0x8000018c,VADD,595993765,0x80000190,VMUL
271,other,1,7,595993675,0x800001b4,REGEXT,595993665,0x8000018c,VADD,595993745,0x80000190,VMUL
278,other,1,4,595993815,0x800001b4,REGEXT,595993805,0x8000018c,VADD,596013135,0x800002b0,VLW12
275,other,1,5,595993785,0x800001b4,REGEXT,595993775,0x8000018c,VADD,596010785,0x800002b8,VSW12
279,other,1,0,595993835,0x800001b4,REGEXT,595993825,0x8000018c,VADD,596013915,0x800002b0,VLW12
276,other,1,6,595993795,0x800001b4,REGEXT,595993785,0x8000018c,VADD,596013485,0x800002b8,VSW12
281,mode2,1,5,622963065,0x800001b4,REGEXT,622963065,0x80000188,JAL,622963075,0x80000188,JAL
282,mode2,1,6,622963075,0x800001b4,REGEXT,622963075,0x80000188,JAL,622963085,0x80000188,JAL
280,mode1,1,4,622963055,0x800001b4,REGEXT,622963005,0x80000184,BGE,622963095,0x80000188,JAL
284,mode1,1,0,622963095,0x800001b4,REGEXT,622963045,0x80000184,BGE,622963115,0x80000188,JAL
289,other,1,1,622963205,0x800001b4,REGEXT,622963195,0x8000018c,VADD,622963285,0x80000190,VMUL
286,other,1,2,622963105,0x800001b4,REGEXT,622963095,0x8000018c,VADD,622963175,0x80000190,VMUL
285,other,1,3,622963095,0x800001b4,REGEXT,622963085,0x8000018c,VADD,622963165,0x80000190,VMUL
283,other,1,7,622963075,0x800001b4,REGEXT,622963065,0x8000018c,VADD,622963145,0x80000190,VMUL
288,other,1,6,622963195,0x800001b4,REGEXT,622963185,0x8000018c,VADD,622981995,0x800002b8,VSW12
290,other,1,4,622963215,0x800001b4,REGEXT,622963205,0x8000018c,VADD,622982775,0x800002b0,VLW12
287,other,1,5,622963185,0x800001b4,REGEXT,622963175,0x8000018c,VADD,622980575,0x800002b8,VSW12
291,other,1,0,622963235,0x800001b4,REGEXT,622963225,0x8000018c,VADD,622983735,0x800002b0,VLW12
293,mode2,1,5,649856505,0x800001b4,REGEXT,649856505,0x80000188,JAL,649856515,0x80000188,JAL
