SM,warp,instr,count
0,6,JOIN,16940
0,6,VMADD,16416
0,6,BARRIER,3920
0,6,LW,2160
0,6,LUI,1026
0,6,BGE,512
0,6,VBGE,68
0,6,REGEXT,46
0,6,CSRRS,44
0,6,JALR,40
0,6,VLW,32
0,6,VMUL,32
0,6,SW,30
0,6,VSW,24
0,6,VBNE,8
0,6,MUL,6
0,6,ADD,4
0,6,CSRRW,4
0,6,VID,4
0,6,VREMU,4
0,6,VSETVLI,2
0,6,BEQ,2
0,6,VDIVU,2
0,6,ENDPRG,2
0,7,VLW12,1114112
0,7,VADD,869974
0,7,SETRPC,558256
0,7,JAL,527644
0,7,VBEQ,524320
0,7,VMV,297078
0,7,AUIPC,279140
0,7,VADD12,279072
0,7,JUMP,263844
0,7,ADDI,262230
0,7,VFMADD,262144
0,7,VBLT,33860
0,7,VSLL,33292
0,7,VSW12,33280
0,7,JOIN,16940
0,7,VMADD,16416
0,7,BARRIER,4051
0,7,LW,2160
0,7,LUI,1026
0,7,BGE,512
0,7,VBGE,68
0,7,REGEXT,46
0,7,CSRRS,44
0,7,JALR,40
0,7,VLW,32
0,7,VMUL,32
0,7,SW,30
0,7,VSW,24
0,7,VBNE,8
0,7,MUL,6
0,7,ADD,4
0,7,CSRRW,4
0,7,VID,4
0,7,VREMU,4
0,7,VSETVLI,2
0,7,BEQ,2
0,7,VDIVU,2
0,7,ENDPRG,2
1,0,VLW12,1114112
1,0,VADD,869974
1,0,SETRPC,558256
1,0,JAL,527644
1,0,VBEQ,524320
1,0,VMV,297078
1,0,AUIPC,279140
1,0,VADD12,279072
1,0,JUMP,263844
1,0,ADDI,262230
1,0,VFMADD,262144
1,0,VBLT,33860
1,0,VSLL,33292
1,0,VSW12,33280
1,0,JOIN,16940
1,0,VMADD,16416
1,0,BARRIER,3997
1,0,LW,2160
1,0,LUI,1026
1,0,BGE,512
1,0,VBGE,68
1,0,REGEXT,46
1,0,CSRRS,44
1,0,JALR,40
1,0,VLW,32
1,0,VMUL,32
1,0,SW,30
1,0,VSW,24
1,0,VBNE,8
1,0,MUL,6
1,0,ADD,4
1,0,CSRRW,4
1,0,VID,4
1,0,VREMU,4
1,0,VSETVLI,2
1,0,BEQ,2
1,0,VDIVU,2
1,0,ENDPRG,2
1,1,VLW12,1114112
1,1,VADD,869974
1,1,SETRPC,558256
1,1,JAL,527644
1,1,VBEQ,524320
1,1,VMV,297078
1,1,AUIPC,279140
1,1,VADD12,279072
1,1,JUMP,263844
1,1,ADDI,262230
1,1,VFMADD,262144
1,1,VBLT,33860
1,1,VSLL,33292
1,1,VSW12,33280
1,1,JOIN,16940
1,1,VMADD,16416
1,1,BARRIER,4381
1,1,LW,2160
1,1,LUI,1026
1,1,BGE,512
1,1,VBGE,68
