metric,count,mean_ns,std_ns,min_ns,max_ns,mean_cycles,std_cycles,min_cycles,max_cycles,ns_per_cycle
A_LOAD(issue->WB)_ns,4194304,14.398971,8.085347,10,50,1.439897,0.808535,1.000000,5.000000,10
B_LOAD(issue->WB)_ns,4194304,18.881762,10.167399,10,90,1.888176,1.016740,1.000000,9.000000,10
