focus_op,next_op,total_ns,count,mean_ns,stall_total_ns,stall_count,stall_mean_ns
VAND_VV,LW,1370856370,524285,2614.7159846266823,1370855420,524281,2614.7341215874694
VAND_VV,SETRPC,143360,2048,70.0,0,0,0.0
VAND_VV,AUIPC,81960,6145,13.337672904800652,0,0,0.0
VAND_VV,VMV_V_X,90,2,45.0,0,0,0.0
