sm,opcode,category,exec_A,exec_B,delta_exec,stall_sum_A_ns,stall_sum_B_ns,delta_stall_sum_ns
1,VLW_V_0x7f4020ab,mem,0,64,64,0,11550,11550
0,VID_V_0x5208a157,other,0,32,32,0,11300,11300
1,VSW_V_0xfe002a2b,mem,0,80,80,0,10580,10580
0,VMADD_VX_0xa703e357,compute,0,256,256,0,10150,10150
0,VSLL_VI_0x97123157,mem,0,16,16,0,10080,10080
1,VMADD_VX_0xa703e357,compute,0,256,256,0,10050,10050
1,VREMU_VX_0x8a0e6057,other,8,16,8,1170,10190,9020
0,REGEXT,other,0,368,368,0,8950,8950
1,VADD_VX_0x02104457,compute,0,256,256,0,7900,7900
0,VADD_VX_0x02104457,compute,0,256,256,0,7770,7770
0,VMV_V_X_0x5e054357,compute,0,256,256,0,5480,5480
1,VSLL_VI_0x97123157,mem,0,16,16,0,5120,5120
0,VMV_V_X_0x5e04c357,compute,0,256,256,0,4910,4910
0,VMV_V_X_0x5e02c057,compute,0,160,160,0,4870,4870
1,VMV_V_X_0x5e04c357,compute,0,256,256,0,4860,4860
0,VREMU_VX_0x8a0e6057,other,0,16,16,0,4630,4630
0,JALR,control,0,320,320,0,4530,4530
0,VSW_V_0xfe002c2b,mem,0,64,64,0,4320,4320
0,MUL,addr,0,48,48,0,3910,3910
0,VLW_V_0x7f8028ab,mem,0,96,96,0,3470,3470
1,VSLL_VI_0x961230d7,mem,0,16,16,0,3230,3230
1,VMV_V_X_0x5e02c057,compute,40,160,120,1070,4260,3190
0,VSW_V_0xfe002a2b,mem,0,80,80,0,3130,3130
1,VSW_V_0xfe002c2b,mem,0,64,64,0,3100,3100
1,JALR,control,96,320,224,1580,4180,2600
0,VMV_V_X_0x5e004057,compute,0,64,64,0,2490,2490
1,VLW_V_0x7f8028ab,mem,0,96,96,0,2450,2450
1,VMV_V_X_0x5e004057,compute,16,64,48,590,2630,2040
1,VMV_V_X_0x5e054357,compute,256,256,0,3520,5480,1960
1,MUL,addr,24,48,24,1990,3870,1880
0,ADD,addr,0,32,32,0,1600,1600
1,VID_V_0x5208a157,other,16,32,16,1470,2970,1500
0,VREMU_VX_0x8a0f6057,other,0,16,16,0,1490,1490
0,VADD_VX_0x020040d7,compute,0,64,64,0,1470,1470
0,VSW_V_0xfe002e2b,mem,0,48,48,0,1470,1470
0,RECEIVE,other,0,16,16,0,1440,1440
0,VBNE,control,0,64,64,0,1380,1380
1,REGEXT,other,452,368,-84,6410,7770,1360
1,VADD_VV_0x02280157,compute,0,16,16,0,1330,1330
1,VSLL_VI_0x97013357,mem,0,16,16,0,1310,1310
0,VSLL_VI_0x97013357,mem,0,16,16,0,1310,1310
0,VADD_VV_0x02280157,compute,0,16,16,0,1300,1300
0,VMV_V_X_0x5e004157,compute,0,32,32,0,1260,1260
1,VSLL_VI_0x97133357,mem,0,16,16,0,1200,1200
0,VSLL_VI_0x97133357,mem,0,16,16,0,1180,1180
1,VMV_V_X_0x5e004157,compute,8,32,24,310,1320,1010
0,VADD_VV_0x025302d7,compute,0,16,16,0,1000,1000
1,VADD_VV_0x025302d7,compute,0,16,16,0,900,900
1,ADD,addr,16,32,16,800,1600,800
1,VREMU_VX_0x8a0f6057,other,8,16,8,720,1520,800
0,VSETVLI,mem,0,16,16,0,720,720
1,RECEIVE,other,8,16,8,720,1440,720
1,VADD_VX_0x0232c157,compute,0,16,16,0,690,690
0,VMV_V_X_0x5e02c257,compute,0,16,16,0,690,690
0,VADD_VV_0x02430257,compute,0,16,16,0,680,680
0,VSLL_VI_0x961230d7,mem,0,16,16,0,660,660
0,VDIVU_VX_0x820e6057,other,0,16,16,0,660,660
0,VSLL_VI_0x96023057,mem,0,16,16,0,650,650
1,VADD_VV_0x02430257,compute,0,16,16,0,620,620
0,VADD_VX_0x0232c157,compute,0,16,16,0,610,610
1,VSLL_VI_0x96023057,mem,0,16,16,0,600,600
1,VMV_V_X_0x5e02c257,compute,8,16,8,160,660,500
1,VADD_VX_0x020040d7,compute,16,64,48,1400,1880,480
0,VSLL_VI_0x962131d7,mem,0,16,16,0,430,430
0,VMV_V_X_0x5e0ec0d7,compute,0,16,16,0,420,420
0,VMV_V_X_0x5e054057,compute,0,32,32,0,410,410
1,VSETVLI,mem,8,16,8,360,720,360
0,VMV_V_X_0x5e0540d7,compute,0,16,16,0,350,350
0,VMV_V_X_0x5e02c2d7,compute,0,16,16,0,350,350
1,VMV_V_X_0x5e054057,compute,0,32,32,0,340,340
1,VMV_V_X_0x5e0540d7,compute,0,16,16,0,340,340
1,VSW_V_0xfe002e2b,mem,24,48,24,1040,1380,340
1,VMV_V_X_0x5e02c2d7,compute,0,16,16,0,310,310
1,VSLL_VI_0x962131d7,mem,0,16,16,0,300,300
1,VDIVU_VX_0x820e6057,other,8,16,8,320,580,260
1,VADD_VX_0x0232c1d7,compute,0,16,16,0,200,200
1,VMV_V_X_0x5e0ec0d7,compute,8,16,8,190,380,190
0,VADD_VX_0x0232c1d7,compute,0,16,16,0,180,180
0,CSRRW,other,0,32,32,0,170,170
0,BEQ,control,0,16,16,0,160,160
1,CSRRW,other,16,32,16,80,170,90
1,BEQ,control,8,16,8,80,160,80
1,ENDPRG,other,8,16,8,0,0,0
0,ENDPRG,other,0,16,16,0,0,0
1,VMV_V_X_0x5e0042d7,compute,8,0,-8,80,0,-80
1,VSLL_VI_0x96113157,mem,8,0,-8,230,0,-230
1,VMV_V_X_0x5e02c1d7,compute,8,0,-8,270,0,-270
1,VADD_VX_0x0222c0d7,compute,8,0,-8,300,0,-300
1,VADD_VV_0x023281d7,compute,8,0,-8,320,0,-320
1,VADD_VX_0x0222c157,compute,8,0,-8,320,0,-320
1,VADD_VV_0x02428257,compute,8,0,-8,320,0,-320
1,VADD_VV_0x021880d7,compute,8,0,-8,640,0,-640
1,VSLL_VI_0x971132d7,mem,8,0,-8,650,0,-650
1,VSLL_VI_0x960332d7,mem,8,0,-8,660,0,-660
1,VSLL_VI_0x960230d7,mem,8,0,-8,890,0,-890
1,VADD_VV_0x02500357,compute,256,0,-256,2540,0,-2540
1,VMV_V_X_0x5e0044d7,compute,256,0,-256,6500,0,-6500
1,VMV_V_X_0x5e024057,compute,288,80,-208,23890,16730,-7160
1,VMUL_VX_0x9663e3d7,compute,256,0,-256,9920,0,-9920
1,VMUL_VX_0x9664e457,compute,256,0,-256,10190,0,-10190
1,VLW_V_0x7fc028ab,mem,40,0,-40,11200,0,-11200
1,VADD12_VI_0x0102828b,compute,256,0,-256,13440,0,-13440
1,VMV_V_X_0x5e04c557,compute,8192,0,-8192,102400,0,-102400
1,BGE,control,8456,4096,-4360,339750,163900,-175850
1,VAND_VV_0x26d706d7,other,8192,0,-8192,184320,0,-184320
1,VSW12_V_0x00b5607b,mem,8192,0,-8192,256000,0,-256000
1,VMV_V_X_0x5e02c5d7,compute,16384,0,-16384,329330,0,-329330
1,VADD_VX_0x02a5c557,compute,8192,0,-8192,419840,0,-419840
1,VADD12_VI_0x0104848b,compute,8192,0,-8192,460800,0,-460800
1,VSLL_VI_0x96a13557,mem,8192,0,-8192,655360,0,-655360
1,VADD_VX_0x02304757,compute,262144,0,-262144,655370,0,-655370
1,VADD_VV_0x02a40557,compute,8192,0,-8192,716800,0,-716800
1,VBNE,control,16400,64,-16336,901550,1360,-900190
1,VMSLT_VX_0x6ee3c857,compute,262144,0,-262144,5957670,0,-5957670
1,VMSLT_VX_0x6ed3c857,compute,262144,0,-262144,6382530,0,-6382530
1,VMV_V_X_0x5e02c6d7,compute,262144,0,-262144,7587610,0,-7587610
1,VADD_VX_0x02d646d7,compute,262144,0,-262144,10503230,0,-10503230
1,VADD_VX_0x02d6c6d7,compute,262144,0,-262144,10645320,0,-10645320
