S(M=N=K),FLOPs(2*S^3),pred_time_old(s),pred_perf_old(FLOP/s),pred_perf_old(MFLOP/s),pred_time_new(s),pred_perf_new(FLOP/s),pred_perf_new(MFLOP/s),speedup_time(old/new),pred_old_t/(2*S^3),pred_new_t/(2*S^3)
1024,2147483648.0,6.921727090396888,310252574.24254566,310.2525742425457,3.024748546420916,709970966.1952052,709.9709661952052,2.2883644653989954,3.2231803473070673e-09,1.4085083019085768e-09
2048,17179869184.0,55.362674168392495,310315017.14937544,310.3150171493754,24.18993991723689,710207187.0694575,710.2071870694575,2.288665220244843,3.2225317652565715e-09,1.4080398202196748e-09
4096,137438953472.0,442.8902507923574,310322824.28008616,310.32282428008614,193.5114708837647,710236725.7316471,710.2367257316471,2.2887028286730633,3.22245069250026e-09,1.4079812600085621e-09
