pc,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0x80000124,128,128,7420,57.96875,1430
0x80000148,192,192,5920,30.833333333333332,1030
0x8000031c,64,64,5680,88.75,110
0x80000394,64,64,5550,86.71875,110
0x800000f8,32,32,5360,167.5,5040
0x800003a8,128,128,5240,40.9375,100
0x80000330,128,128,5230,40.859375,110
0x80000348,128,128,5190,40.546875,140
0x800003c0,128,128,5120,40.0,90
0x8000039c,64,64,5110,79.84375,100
0x80000324,64,64,5060,79.0625,100
0x80000408,96,96,4410,45.9375,100
0x80000414,96,96,4090,42.604166666666664,110
0x80000384,128,128,3920,30.625,70
0x800003fc,128,128,3900,30.46875,70
0x8000018c,32,32,3890,121.5625,2620
0x80000130,160,160,3740,23.375,730
0x80000354,64,64,3590,56.09375,120
0x80000120,128,128,3510,27.421875,860
0x8000034c,128,128,3510,27.421875,90
0x80000338,128,128,3280,25.625,100
0x800003c4,128,128,3260,25.46875,70
0x80000024,32,32,3120,97.5,100
0x80000484,32,32,3010,94.0625,110
0x800003b0,128,128,2980,23.28125,100
0x80000000,32,32,2880,90.0,100
0x80000034,64,64,2880,45.0,100
0x80000440,32,32,2860,89.375,110
0x80000110,96,96,2850,29.6875,90
0x800001e4,96,96,2840,29.583333333333332,60
0x800003cc,64,64,2810,43.90625,120
0x80000334,128,128,2790,21.796875,80
0x80000144,160,160,2720,17.0,680
0x800003ac,128,128,2710,21.171875,70
0x8000015c,64,64,2710,42.34375,740
0x800004ac,32,32,2680,83.75,1230
0x80000480,32,32,2660,83.125,100
0x800001a0,32,32,2660,83.125,110
0x80000028,32,32,2640,82.5,110
0x80000360,64,64,2640,41.25,100
0x800001dc,32,32,2640,82.5,100
0x80000194,32,32,2630,82.1875,100
0x800001b8,32,32,2620,81.875,90
0x80000494,64,64,2600,40.625,110
0x800003d8,64,64,2590,40.46875,100
0x80000178,64,64,2580,40.3125,100
0x80000014,64,64,2560,40.0,70
0x80000038,32,32,2560,80.0,80
0x80000044,32,32,2560,80.0,100
0x800000c4,32,32,2560,80.0,80
0x80000168,64,64,2510,39.21875,90
0x8000003c,32,32,2480,77.5,110
0x8000004c,32,32,2480,77.5,80
0x80000048,32,32,2400,75.0,80
0x800001c0,32,32,2380,74.375,90
0x80000138,32,32,2370,74.0625,100
0x800001d0,64,64,2320,36.25,70
0x80000100,32,32,2260,70.625,90
0x8000036c,96,96,2220,23.125,100
0x8000046c,64,64,2190,34.21875,110
0x800003c8,64,64,2090,32.65625,120
0x80000104,32,32,2050,64.0625,90
0x8000043c,64,64,2040,31.875,70
0x800003e4,96,96,2030,21.145833333333332,70
0x80000050,32,32,2000,62.5,70
0x80000160,64,64,2000,31.25,300
0x800004a8,64,64,1970,30.78125,70
0x80000080,32,32,1940,60.625,70
0x80000004,32,32,1920,60.0,80
0x80000008,32,32,1920,60.0,70
0x80000020,64,64,1920,30.0,40
0x80000040,32,32,1920,60.0,100
0x80000090,32,32,1920,60.0,60
0x800000bc,32,32,1920,60.0,60
0x80000378,96,96,1920,20.0,70
0x800001c4,32,32,1900,59.375,100
0x8000019c,32,32,1880,58.75,70
0x80000184,96,96,1840,19.166666666666668,550
0x80000450,64,64,1810,28.28125,60
0x800000b8,64,64,1790,27.96875,50
0x800003e8,96,96,1770,18.4375,60
0x80000320,64,64,1760,27.5,220
0x80000430,32,32,1680,52.5,320
0x80000370,96,96,1680,17.5,70
0x800001d4,32,32,1680,52.5,100
0x800001d8,32,32,1680,52.5,80
0x80000128,32,32,1670,52.1875,90
0x800003f0,96,96,1660,17.291666666666668,70
0x80000328,64,64,1650,25.78125,100
0x800001ac,32,32,1630,50.9375,70
0x80000498,64,64,1610,25.15625,60
0x800003a4,64,64,1610,25.15625,50
0x800000c8,64,64,1600,25.0,40
0x80000398,64,64,1590,24.84375,190
0x8000013c,32,32,1570,49.0625,80
0x80000340,64,64,1530,23.90625,40
0x80000344,64,64,1500,23.4375,50
0x80000118,32,32,1500,46.875,90
0x8000010c,96,96,1460,15.208333333333334,30
0x800003b8,64,64,1460,22.8125,40
0x8000000c,32,32,1440,45.0,60
0x8000009c,64,64,1420,22.1875,50
0x80000364,64,64,1420,22.1875,60
0x800003a0,64,64,1420,22.1875,40
0x800003bc,64,64,1420,22.1875,50
0x8000032c,64,64,1400,21.875,100
0x80000094,32,32,1380,43.125,70
0x80000368,64,64,1380,21.5625,80
0x8000014c,128,128,1380,10.78125,40
0x80000350,64,64,1370,21.40625,120
0x80000410,64,64,1350,21.09375,60
0x800001b4,32,32,1350,42.1875,60
0x8000017c,64,64,1340,20.9375,70
0x800003dc,64,64,1320,20.625,50
0x800001a4,32,32,1300,40.625,70
0x800001bc,32,32,1300,40.625,50
0x8000008c,32,32,1290,40.3125,50
0x80000010,32,32,1280,40.0,40
0x8000001c,64,64,1280,20.0,30
0x8000002c,32,32,1280,40.0,40
0x800000c0,32,32,1280,40.0,40
0x800000e8,32,32,1280,40.0,40
0x80000460,32,32,1270,39.6875,60
0x800001e0,64,64,1270,19.84375,40
0x8000016c,32,32,1250,39.0625,60
0x800000d8,32,32,1240,38.75,40
0x80000488,32,32,1240,38.75,70
0x80000458,64,64,1230,19.21875,70
0x8000041c,64,64,1230,19.21875,80
0x80000374,64,64,1190,18.59375,100
0x800003ec,64,64,1170,18.28125,70
0x800001cc,64,64,1160,18.125,50
0x8000022c,64,64,1080,16.875,50
0x800004b0,64,64,1040,16.25,60
0x8000038c,128,128,940,7.34375,10
0x80000404,128,128,940,7.34375,10
0x8000011c,64,64,930,14.53125,90
0x80000140,64,64,840,13.125,90
0x8000035c,32,32,830,25.9375,60
0x8000007c,32,32,800,25.0,60
0x8000048c,32,32,800,25.0,30
0x800003e0,64,64,800,12.5,60
0x800000a0,64,32,800,25.0,50
0x800003d4,32,32,790,24.6875,60
0x80000174,32,32,750,23.4375,50
0x80000198,32,32,730,22.8125,50
0x800001c8,64,64,730,11.40625,110
0x80000030,32,32,720,22.5,30
0x80000358,32,32,720,22.5,50
0x8000012c,64,64,720,11.25,90
0x80000170,32,32,690,21.5625,30
0x800003d0,32,32,680,21.25,50
0x800001a8,32,32,660,20.625,40
0x80000018,32,32,640,20.0,20
0x80000108,64,64,620,9.6875,80
0x80000158,64,64,610,9.53125,160
0x80000490,32,32,560,17.5,50
0x800001e8,64,64,560,8.75,50
0x80000154,64,64,520,8.125,30
0x80000180,64,64,520,8.125,10
0x80000418,32,32,380,11.875,50
0x800001b0,32,32,380,11.875,30
0x8000040c,32,32,370,11.5625,40
0x80000098,64,64,340,5.3125,10
0x800000f0,32,32,330,10.3125,20
0x80000054,32,32,320,10.0,10
0x800000e0,32,32,320,10.0,10
0x80000114,32,32,300,9.375,30
