sm,block,warp_in_block,t_first_ns,t_last_ns,warp_wall_ns,exec_total,stall_count,stall_sum_gap_ns,stall_mean_ns
1,0,2,15,866288675,866288660,11906076,11906075,866288660,72.76022198751478
1,0,6,15,866288655,866288640,11906077,11906076,866288640,72.76021419651613
1,0,4,15,866288635,866288620,11906097,11906096,866288620,72.76009029324138
1,0,1,15,866288625,866288610,11906077,11906076,866288610,72.76021167679427
1,0,5,15,866288595,866288580,11906095,11906094,866288580,72.76009915594484
1,0,0,15,866288585,866288570,11906073,11906072,866288570,72.76023276190502
1,0,3,15,866288545,866288530,11906089,11906088,866288530,72.7601316234182
1,0,7,15,866288495,866288480,11906084,11906083,866288480,72.76015797974867
