sm,opcode,category,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns,stall_p95_approx_ns
1,VADD_VX_0x0222c157,compute,8,8,320,40.0,50,64
1,VADD_VV_0x023281d7,compute,8,8,320,40.0,40,64
1,VADD_VV_0x02428257,compute,8,8,320,40.0,40,64
1,VMV_V_X_0x5e004157,compute,8,8,310,38.75,50,64
1,VADD_VX_0x0222c0d7,compute,8,8,300,37.5,60,64
1,VMV_V_X_0x5e02c1d7,compute,8,8,270,33.75,40,64
1,VSLL_VI_0x96113157,mem,8,8,230,28.75,50,64
1,VMV_V_X_0x5e0ec0d7,compute,8,8,190,23.75,30,32
1,VMV_V_X_0x5e02c257,compute,8,8,160,20.0,20,32
1,CSRRW,other,16,16,80,5.0,10,16
1,BEQ,control,8,8,80,10.0,10,16
1,VMV_V_X_0x5e0042d7,compute,8,8,80,10.0,10,16
1,ENDPRG,other,8,0,0,0.0,0,0
