pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x800001b8,272,0.00000301,VMV_V_X,VMV_V_X,0x5e024057,OTHER,"SM 1 warp 3 0x800001b8           VMV_V_X_0x5e024057 REGEXT(s3,s2,s1,d)=0,0,0,1 is used to set s3,s2,s1,d=32,0,4,32 @50805ns,1 [trace decode.cpp:157]"
0x800001bc,16,0.00000018,JALR,JALR,0x00008067,CTRL,"SM 1 warp 0 0x800001bc              JALR_0x00008067 JUMP=true, jumpTO 0x800000a0 @866288445ns,1 [trace exec_salu.cpp:121]"
0x800001c0,256,0.00000283,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 0 0x800001c0              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @28280905ns,1 [trace exec_simtstk.cpp:154]"
0x800001c4,256,0.00000283,VADD12_VI,VADD12_VI,0x0102828b,VALU,"SM 1 warp 0 0x800001c4         VADD12_VI_0x0102828b mask=FFFFFFFF WB v[005]={00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010}; s1=5 s2=16 s3=5 @28281005ns,1 [trace regfile.cpp:109]"
0x800001c8,256,0.00000283,VMV_V_X,VMV_V_X,0x5e054357,OTHER,"SM 1 warp 0 0x800001c8           VMV_V_X_0x5e054357 mask=FFFFFFFF WB v[006]={00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200}; s1=10 s2=0 s3=6 @28281045ns,1 [trace regfile.cpp:109]"
0x800001cc,256,0.00000283,AUIPC,AUIPC,0x00000317,OTHER,"SM 1 warp 0 0x800001cc             AUIPC_0x00000317 WB x[006]=0x800001cc @28281055ns,1 [trace regfile.cpp:87]"
0x800001d0,512,0.00000566,SETRPC,SETRPC,0xfd43305b,CSR,"SM 1 warp 0 0x800001d0            SETRPC_0xfd43305b CSR[0xfd4]=0x0 @28281095ns,1 [trace exec_csr.cpp:154]"
0x800001d4,512,0.00000566,VBLT,VBLT,0xfa5348db,OTHER,"SM 1 warp 0 0x800001d4              VBLT_0xfa5348db from VALU, current_mask=FFFFFFFF, branch_mask=FFFFFFFF, stack-size=0 @28281175ns,1 [trace exec_simtstk.cpp:53]"
0x800001d8,16,0.00000018,JAL,JAL,0xfc9ff06f,CTRL,"SM 1 warp 0 0x800001d8               JAL_0xfc9ff06f JUMP=true, jumpTO 0x800001a0 @866288055ns,1 [trace exec_salu.cpp:108]"
0x800001dc,8192,0.00009051,LUI,LUI,0x800032b7,OTHER,"SM 1 warp 3 0x800001dc               LUI_0x800032b7 WB x[005]=0x80003000 @51005ns,1 [trace regfile.cpp:87]"
0x800001e0,16384,0.00018103,LW,LW,0x0082a283,LSU,"SM 1 warp 3 0x800001e0                LW_0x0082a283 mask=FFFFFFFF MEMADDR 80003008 @51455ns,1 [trace exec_lsu.cpp:189]"
0x800001e4,8192,0.00009051,VADD_VV,VADD_VV,0x02988557,VALU,"SM 1 warp 3 0x800001e4           VADD_VV_0x02988557 mask=FFFFFFFF WB v[010]={00000000 00000001 00000002 00000003 00000004 00000005 00000006 00000007 00000008 00000009 0000000a 0000000b 0000000c 0000000d 0000000e 0000000f 00000000 00000001 00000002 00000003 00000004 00000005 00000006 00000007 00000008 00000009 0000000a 0000000b 0000000c 0000000d 0000000e 0000000f}; s1=17 s2=9 s3=10 @51185ns,1 [trace regfile.cpp:109]"
0x800001e8,8192,0.00009051,VMV_V_X,VMV_V_X,0x5e02c5d7,OTHER,"SM 1 warp 3 0x800001e8           VMV_V_X_0x5e02c5d7 mask=FFFFFFFF WB v[011]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=5 s2=0 s3=11 @51575ns,1 [trace regfile.cpp:109]"
0x800001ec,8192,0.00009051,BGE,BGE,0x00705e63,BR,"SM 1 warp 3 0x800001ec               BGE_0x00705e63 mask=FFFFFFFF, JUMP=false @51585ns,1 [trace exec_salu.cpp:339]"
0x800001f0,16384,0.00018103,JAL,JAL,0x0040006f,CTRL,"SM 1 warp 3 0x800001f0               JAL_0x0040006f JUMP=true, jumpTO 0x800001f4 @51635ns,1 [trace exec_salu.cpp:108]"
0x800001f4,8192,0.00009051,LUI,LUI,0x800032b7,OTHER,"SM 1 warp 3 0x800001f4               LUI_0x800032b7 WB x[005]=0x80003000 @51705ns,1 [trace regfile.cpp:87]"
0x800001f8,16384,0.00018103,LW,LW,0x0082a283,LSU,"SM 1 warp 3 0x800001f8                LW_0x0082a283 mask=FFFFFFFF MEMADDR 80003008 @52665ns,1 [trace exec_lsu.cpp:189]"
0x800001fc,8192,0.00009051,VMV_V_X,VMV_V_X,0x5e02c5d7,OTHER,"SM 1 warp 3 0x800001fc           VMV_V_X_0x5e02c5d7 mask=FFFFFFFF WB v[011]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=5 s2=0 s3=11 @53315ns,1 [trace regfile.cpp:109]"
0x80000200,8192,0.00009051,VMV_V_X,VMV_V_X,0x5e004657,OTHER,"SM 1 warp 3 0x80000200           VMV_V_X_0x5e004657 mask=FFFFFFFF WB v[012]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=12 @53355ns,1 [trace regfile.cpp:109]"
0x80000204,16384,0.00018103,JAL,JAL,0x0280006f,CTRL,"SM 1 warp 3 0x80000204               JAL_0x0280006f JUMP=true, jumpTO 0x8000022c @53365ns,1 [trace exec_salu.cpp:108]"
0x80000208,8192,0.00009051,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 3 0x80000208              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @924785ns,1 [trace exec_simtstk.cpp:154]"
0x8000020c,8192,0.00009051,VMV_V_X,VMV_V_X,0x5e004657,OTHER,"SM 1 warp 0 0x8000020c           VMV_V_X_0x5e004657 mask=FFFFFFFF WB v[012]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=12 @924875ns,1 [trace regfile.cpp:109]"
0x80000210,8192,0.00009051,VMSLT_VX,VMSLT_VX,0x6e6546d7,OTHER,"SM 1 warp 3 0x80000210          VMSLT_VX_0x6e6546d7 mask=FFFFFFFF WB v[013]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=10 s2=6 s3=13 @924925ns,1 [trace regfile.cpp:109]"
0x80000214,8192,0.00009051,VMSLT_VX,VMSLT_VX,0x6ea4c757,OTHER,"SM 1 warp 3 0x80000214          VMSLT_VX_0x6ea4c757 mask=FFFFFFFF WB v[014]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=9 s2=10 s3=14 @925005ns,1 [trace regfile.cpp:109]"
0x80000218,8192,0.00009051,VAND_VV,VAND_VV,0x26d706d7,OTHER,"SM 1 warp 3 0x80000218           VAND_VV_0x26d706d7 mask=FFFFFFFF WB v[013]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=14 s2=13 s3=13 @925125ns,1 [trace regfile.cpp:109]"
0x8000021c,8192,0.00009051,AUIPC,AUIPC,0x00000317,OTHER,"SM 1 warp 0 0x8000021c             AUIPC_0x00000317 WB x[006]=0x8000021c @925115ns,1 [trace regfile.cpp:87]"
0x80000220,16384,0.00018103,SETRPC,SETRPC,0x1143305b,CSR,"SM 1 warp 0 0x80000220            SETRPC_0x1143305b CSR[0x114]=0x0 @925175ns,1 [trace exec_csr.cpp:154]"
0x80000224,16384,0.00018103,VBNE,VBNE,0x0ed61e5b,OTHER,"SM 1 warp 3 0x80000224              VBNE_0x0ed61e5b from VALU, current_mask=FFFFFFFF, branch_mask=FFFFFFFF, stack-size=0 @925265ns,1 [trace exec_simtstk.cpp:53]"
0x8000022c,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e0047d7,OTHER,"SM 1 warp 3 0x8000022c           VMV_V_X_0x5e0047d7 mask=FFFFFFFF WB v[015]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=15 @53485ns,1 [trace regfile.cpp:109]"
0x80000230,262144,0.00289647,VMSLT_VX,VMSLT_VX,0x6e6546d7,OTHER,"SM 1 warp 3 0x80000230          VMSLT_VX_0x6e6546d7 mask=FFFFFFFF WB v[013]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=10 s2=6 s3=13 @53525ns,1 [trace regfile.cpp:109]"
0x80000234,262144,0.00289647,VADD_VV,VADD_VV,0x02c88757,VALU,"SM 1 warp 3 0x80000234           VADD_VV_0x02c88757 mask=FFFFFFFF WB v[014]={00000000 00000001 00000002 00000003 00000004 00000005 00000006 00000007 00000008 00000009 0000000a 0000000b 0000000c 0000000d 0000000e 0000000f 00000000 00000001 00000002 00000003 00000004 00000005 00000006 00000007 00000008 00000009 0000000a 0000000b 0000000c 0000000d 0000000e 0000000f}; s1=17 s2=12 s3=14 @53565ns,1 [trace regfile.cpp:109]"
0x80000238,262144,0.00289647,VMSLT_VX,VMSLT_VX,0x6ee3c857,OTHER,"SM 1 warp 3 0x80000238          VMSLT_VX_0x6ee3c857 mask=FFFFFFFF WB v[016]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=7 s2=14 s3=16 @53645ns,1 [trace regfile.cpp:109]"
0x8000023c,262144,0.00289647,LUI,LUI,0x800032b7,OTHER,"SM 1 warp 3 0x8000023c               LUI_0x800032b7 WB x[005]=0x80003000 @53655ns,1 [trace regfile.cpp:87]"
0x80000240,524288,0.00579294,LW,LW,0x0082a283,LSU,"SM 1 warp 3 0x80000240                LW_0x0082a283 mask=FFFFFFFF MEMADDR 80003008 @53695ns,1 [trace exec_lsu.cpp:189]"
0x80000244,262144,0.00289647,VAND_VV,VAND_VV,0x26d80857,OTHER,"SM 1 warp 3 0x80000244           VAND_VV_0x26d80857 mask=FFFFFFFF WB v[016]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=16 s2=13 s3=16 @53775ns,1 [trace regfile.cpp:109]"
0x80000248,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e02c6d7,OTHER,"SM 1 warp 3 0x80000248           VMV_V_X_0x5e02c6d7 mask=FFFFFFFF WB v[013]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=5 s2=0 s3=13 @53815ns,1 [trace regfile.cpp:109]"
0x8000024c,262144,0.00289647,AUIPC,AUIPC,0x00000317,OTHER,"SM 1 warp 3 0x8000024c             AUIPC_0x00000317 WB x[006]=0x8000024c @53825ns,1 [trace regfile.cpp:87]"
0x80000250,524288,0.00579294,SETRPC,SETRPC,0x0203305b,CSR,"SM 1 warp 3 0x80000250            SETRPC_0x0203305b CSR[0x20]=0x0 @53865ns,1 [trace exec_csr.cpp:154]"
0x80000254,524288,0.00579294,VBEQ,VBEQ,0x01078c5b,BR,"SM 1 warp 3 0x80000254              VBEQ_0x01078c5b from VALU, current_mask=FFFFFFFF, branch_mask=0, stack-size=0 @53955ns,1 [trace exec_simtstk.cpp:53]"
0x80000258,524288,0.00579294,JAL,JAL,0x0040006f,CTRL,"SM 1 warp 3 0x80000258               JAL_0x0040006f JUMP=true, jumpTO 0x8000025c @53995ns,1 [trace exec_salu.cpp:108]"
0x8000025c,262144,0.00289647,VADD_VV,VADD_VV,0x02e386d7,VALU,"SM 1 warp 3 0x8000025c           VADD_VV_0x02e386d7 mask=FFFFFFFF WB v[013]={00000800 00000801 00000802 00000803 00000804 00000805 00000806 00000807 00000808 00000809 0000080a 0000080b 0000080c 0000080d 0000080e 0000080f 00000a00 00000a01 00000a02 00000a03 00000a04 00000a05 00000a06 00000a07 00000a08 00000a09 00000a0a 00000a0b 00000a0c 00000a0d 00000a0e 00000a0f}; s1=7 s2=14 s3=13 @54125ns,1 [trace regfile.cpp:109]"
0x80000260,262144,0.00289647,VSLL_VI,VSLL_VI,0x96d136d7,VALU,"SM 1 warp 3 0x80000260           VSLL_VI_0x96d136d7 mask=FFFFFFFF WB v[013]={00002000 00002004 00002008 0000200c 00002010 00002014 00002018 0000201c 00002020 00002024 00002028 0000202c 00002030 00002034 00002038 0000203c 00002800 00002804 00002808 0000280c 00002810 00002814 00002818 0000281c 00002820 00002824 00002828 0000282c 00002830 00002834 00002838 0000283c}; s1=2 s2=13 s3=13 @54205ns,1 [trace regfile.cpp:109]"
0x80000264,262144,0.00289647,VADD_VX,VADD_VX,0x02d6c6d7,VALU,"SM 1 warp 3 0x80000264           VADD_VX_0x02d6c6d7 mask=FFFFFFFF WB v[013]={90002000 90002004 90002008 9000200c 90002010 90002014 90002018 9000201c 90002020 90002024 90002028 9000202c 90002030 90002034 90002038 9000203c 90002800 90002804 90002808 9000280c 90002810 90002814 90002818 9000281c 90002820 90002824 90002828 9000282c 90002830 90002834 90002838 9000283c}; s1=13 s2=13 s3=13 @54295ns,1 [trace regfile.cpp:109]"
0x80000268,524288,0.00579294,VLW12_V,VLW12_V,0x0006a6fb,VLSU,"SM 1 warp 2 0x80000268           VLW12_V_0x0006a6fb mask=FFFFFFFF MEMADDR 90001000 90001004 90001008 9000100c 90001010 90001014 90001018 9000101c 90001020 90001024 90001028 9000102c 90001030 90001034 90001038 9000103c 90001800 90001804 90001808 9000180c 90001810 90001814 90001818 9000181c 90001820 90001824 90001828 9000182c 90001830 90001834 90001838 9000183c @54435ns,1 [trace exec_lsu.cpp:189]"
0x8000026c,262144,0.00289647,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 2 0x8000026c              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @54365ns,1 [trace exec_simtstk.cpp:154]"
0x80000270,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e0047d7,OTHER,"SM 1 warp 2 0x80000270           VMV_V_X_0x5e0047d7 mask=FFFFFFFF WB v[015]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=15 @54485ns,1 [trace regfile.cpp:109]"
0x80000274,262144,0.00289647,VMSLT_VX,VMSLT_VX,0x6ea4c757,OTHER,"SM 1 warp 2 0x80000274          VMSLT_VX_0x6ea4c757 mask=FFFFFFFF WB v[014]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=9 s2=10 s3=14 @54535ns,1 [trace regfile.cpp:109]"
0x80000278,262144,0.00289647,VSW12_V,VSW12_V,0x00d0e07b,VLSU,"SM 1 warp 2 0x80000278           VSW12_V_0x00d0e07b mask=FFFFFFFF ADDR 70002880 70002884 70002888 7000288c 70002890 70002894 70002898 7000289c 700028a0 700028a4 700028a8 700028ac 700028b0 700028b4 700028b8 700028bc 700028c0 700028c4 700028c8 700028cc 700028d0 700028d4 700028d8 700028dc 700028e0 700028e4 700028e8 700028ec 700028f0 700028f4 700028f8 700028fc, DATA 3b5e4500 bb921fc0 bc4a19a0 bca5c1a0 bce6a6c0 bd13dbd8 bd3479e0 bd552b28 bd75efe8 bd8b62f0 bd9bd650 bdac50f0 bdbcd2e4 bdcd5b0c bddde928 bdee7c1c 3ec72f58 3ec1c570 3ebc54c1 3eb6dd54 3eb15f58 3eabdb0e 3ea650c6 3ea0c088 3e9b2a82 3e958ef8 3e8fee3c 3e8a4853 3e849d70 3e7ddbaa 3e7273ac 3e6702f0 @56175ns,1 [trace exec_lsu.cpp:183]"
0x8000027c,262144,0.00289647,VADD_VV,VADD_VV,0x02c006d7,VALU,"SM 1 warp 2 0x8000027c           VADD_VV_0x02c006d7 mask=FFFFFFFF WB v[013]={00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000002 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003 00000003}; s1=0 s2=12 s3=13 @56265ns,1 [trace regfile.cpp:109]"
0x80000280,262144,0.00289647,VMSLT_VX,VMSLT_VX,0x6ed3c857,OTHER,"SM 1 warp 2 0x80000280          VMSLT_VX_0x6ed3c857 mask=FFFFFFFF WB v[016]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=7 s2=13 s3=16 @56355ns,1 [trace regfile.cpp:109]"
0x80000284,262144,0.00289647,LUI,LUI,0x800032b7,OTHER,"SM 1 warp 2 0x80000284               LUI_0x800032b7 WB x[005]=0x80003000 @56345ns,1 [trace regfile.cpp:87]"
0x80000288,524288,0.00579294,LW,LW,0x0082a283,LSU,"SM 1 warp 2 0x80000288                LW_0x0082a283 mask=FFFFFFFF MEMADDR 80003008 @56385ns,1 [trace exec_lsu.cpp:189]"
0x8000028c,262144,0.00289647,VAND_VV,VAND_VV,0x27070857,OTHER,"SM 1 warp 2 0x8000028c           VAND_VV_0x27070857 mask=FFFFFFFF WB v[016]={00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001 00000001}; s1=14 s2=16 s3=16 @56465ns,1 [trace regfile.cpp:109]"
0x80000290,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e02c757,OTHER,"SM 1 warp 2 0x80000290           VMV_V_X_0x5e02c757 mask=FFFFFFFF WB v[014]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=5 s2=0 s3=14 @56955ns,1 [trace regfile.cpp:109]"
0x80000294,262144,0.00289647,AUIPC,AUIPC,0x00000317,OTHER,"SM 1 warp 2 0x80000294             AUIPC_0x00000317 WB x[006]=0x80000294 @56975ns,1 [trace regfile.cpp:87]"
0x80000298,524288,0.00579294,SETRPC,SETRPC,0x0203305b,CSR,"SM 1 warp 2 0x80000298            SETRPC_0x0203305b CSR[0x20]=0x0 @57015ns,1 [trace exec_csr.cpp:154]"
0x8000029c,524288,0.00579294,VBEQ,VBEQ,0x01078c5b,BR,"SM 1 warp 2 0x8000029c              VBEQ_0x01078c5b from VALU, current_mask=FFFFFFFF, branch_mask=0, stack-size=0 @57095ns,1 [trace exec_simtstk.cpp:53]"
0x800002a0,524288,0.00579294,JAL,JAL,0x0040006f,CTRL,"SM 1 warp 2 0x800002a0               JAL_0x0040006f JUMP=true, jumpTO 0x800002a4 @57135ns,1 [trace exec_salu.cpp:108]"
0x800002a4,262144,0.00289647,VMADD_VX,VMADD_VX,0xa6a4e6d7,VALU,"SM 1 warp 2 0x800002a4          VMADD_VX_0xa6a4e6d7 mask=FFFFFFFF WB v[013]={00000400 00000401 00000402 00000403 00000404 00000405 00000406 00000407 00000408 00000409 0000040a 0000040b 0000040c 0000040d 0000040e 0000040f 00000600 00000601 00000602 00000603 00000604 00000605 00000606 00000607 00000608 00000609 0000060a 0000060b 0000060c 0000060d 0000060e 0000060f}; s1=9 s2=10 s3=13 @57255ns,1 [trace regfile.cpp:109]"
0x800002a8,262144,0.00289647,VSLL_VI,VSLL_VI,0x96d136d7,VALU,"SM 1 warp 2 0x800002a8           VSLL_VI_0x96d136d7 mask=FFFFFFFF WB v[013]={00001000 00001004 00001008 0000100c 00001010 00001014 00001018 0000101c 00001020 00001024 00001028 0000102c 00001030 00001034 00001038 0000103c 00001800 00001804 00001808 0000180c 00001810 00001814 00001818 0000181c 00001820 00001824 00001828 0000182c 00001830 00001834 00001838 0000183c}; s1=2 s2=13 s3=13 @57335ns,1 [trace regfile.cpp:109]"
0x800002ac,262144,0.00289647,VADD_VX,VADD_VX,0x02d646d7,VALU,"SM 1 warp 2 0x800002ac           VADD_VX_0x02d646d7 mask=FFFFFFFF WB v[013]={90101000 90101004 90101008 9010100c 90101010 90101014 90101018 9010101c 90101020 90101024 90101028 9010102c 90101030 90101034 90101038 9010103c 90101800 90101804 90101808 9010180c 90101810 90101814 90101818 9010181c 90101820 90101824 90101828 9010182c 90101830 90101834 90101838 9010183c}; s1=12 s2=13 s3=13 @57435ns,1 [trace regfile.cpp:109]"
0x800002b0,524288,0.00579294,VLW12_V,VLW12_V,0x0006a77b,VLSU,"SM 1 warp 2 0x800002b0           VLW12_V_0x0006a77b mask=FFFFFFFF MEMADDR 90101000 90101004 90101008 9010100c 90101010 90101014 90101018 9010101c 90101020 90101024 90101028 9010102c 90101030 90101034 90101038 9010103c 90101800 90101804 90101808 9010180c 90101810 90101814 90101818 9010181c 90101820 90101824 90101828 9010182c 90101830 90101834 90101838 9010183c @57475ns,1 [trace exec_lsu.cpp:189]"
0x800002b4,262144,0.00289647,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 2 0x800002b4              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @57505ns,1 [trace exec_simtstk.cpp:154]"
0x800002b8,262144,0.00289647,VSW12_V,VSW12_V,0x00e1607b,VLSU,"SM 1 warp 7 0x800002b8           VSW12_V_0x00e1607b mask=FFFFFFFF ADDR 70002700 70002704 70002708 7000270c 70002710 70002714 70002718 7000271c 70002720 70002724 70002728 7000272c 70002730 70002734 70002738 7000273c 70002740 70002744 70002748 7000274c 70002750 70002754 70002758 7000275c 70002760 70002764 70002768 7000276c 70002770 70002774 70002778 7000277c, DATA be2fe36e be46112e be5c2764 be72208e be83febc be8edc58 be99a9da bea4649b beaf0cef beb9a03c bec41e5e bece871f bed8d806 bee3114f beed308e bef73664 3f2c1ddc 3f2e1f0f 3f300c9a 3f31e5f7 3f33aba8 3f355d1f 3f36f9ed 3f38827c 3f39f65f 3f3b5564 3f3c9f3e 3f3dd437 3f3ef3f8 3f3ffe4d 3f40f354 3f41d2da @61445ns,1 [trace exec_lsu.cpp:183]"
0x800002c0,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e0046d7,OTHER,"SM 1 warp 2 0x800002c0           VMV_V_X_0x5e0046d7 mask=FFFFFFFF WB v[013]={00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000}; s1=0 s2=0 s3=13 @73995ns,1 [trace regfile.cpp:109]"
0x800002c4,262144,0.00289647,VADD_VX,VADD_VX,0x02304757,VALU,"SM 1 warp 2 0x800002c4           VADD_VX_0x02304757 mask=FFFFFFFF WB v[014]={70002400 70002404 70002408 7000240c 70002410 70002414 70002418 7000241c 70002420 70002424 70002428 7000242c 70002430 70002434 70002438 7000243c 70002400 70002404 70002408 7000240c 70002410 70002414 70002418 7000241c 70002420 70002424 70002428 7000242c 70002430 70002434 70002438 7000243c}; s1=0 s2=3 s3=14 @74055ns,1 [trace regfile.cpp:109]"
0x800002c8,524288,0.00579294,JAL,JAL,0x0240006f,CTRL,"SM 1 warp 3 0x800002c8               JAL_0x0240006f JUMP=true, jumpTO 0x800002ec @74055ns,1 [trace exec_salu.cpp:108]"
0x800002cc,262144,0.00289647,JOIN,JOIN,0x0000205b,CTRL,"SM 1 warp 5 0x800002cc              JOIN_0x0000205b SIMTSTK receive join, stack-size=0 @86185ns,1 [trace exec_simtstk.cpp:154]"
0x800002d0,262144,0.00289647,VADD12_VI,VADD12_VI,0x0106060b,VALU,"SM 1 warp 5 0x800002d0         VADD12_VI_0x0106060b mask=FFFFFFFF WB v[012]={00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010 00000010}; s1=12 s2=16 s3=12 @86285ns,1 [trace regfile.cpp:109]"
0x800002d4,262144,0.00289647,VMV_V_X,VMV_V_X,0x5e03c6d7,OTHER,"SM 1 warp 5 0x800002d4           VMV_V_X_0x5e03c6d7 mask=FFFFFFFF WB v[013]={00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200 00000200}; s1=7 s2=0 s3=13 @86325ns,1 [trace regfile.cpp:109]"
0x800002dc,262144,0.00289647,AUIPC,AUIPC,0x00000317,OTHER,"SM 1 warp 2 0x800002dc             AUIPC_0x00000317 WB x[006]=0x800002dc @86895ns,1 [trace regfile.cpp:87]"
