pc,count,share,mnemonic,mnemonic_set,enc_set,class,sample_line
0x80000084,8,0.00000009,ADDI,ADDI,0xf84f0f13,OTHER,"SM 1 warp 3 0x80000084              ADDI_0xf84f0f13 WB x[030]=0x80003004 @4865ns,1 [trace regfile.cpp:87]"
0x80000088,8,0.00000009,SW,SW,0x007ea023,LSU,"SM 1 warp 3 0x80000088                SW_0x007ea023 mask=FFFFFFFF ADDR 80003000, DATA 0 @8265ns,1 [trace exec_lsu.cpp:183]"
0x8000008c,8,0.00000009,SW,SW,0x01cf2023,LSU,"SM 1 warp 3 0x8000008c                SW_0x01cf2023 mask=FFFFFFFF ADDR 80003004, DATA 0 @10035ns,1 [trace exec_lsu.cpp:183]"
0x80000090,8,0.00000009,AUIPC,AUIPC,0x00000f97,OTHER,"SM 1 warp 3 0x80000090             AUIPC_0x00000f97 WB x[031]=0x80000090 @10075ns,1 [trace regfile.cpp:87]"
0x80000094,8,0.00000009,ADDI,ADDI,0x018f8f93,OTHER,"SM 1 warp 3 0x80000094              ADDI_0x018f8f93 WB x[031]=0x800000a8 @10135ns,1 [trace regfile.cpp:87]"
0x80000098,16,0.00000018,CSRRW,CSRRW,0x305f9073,CSR,"SM 1 warp 3 0x80000098             CSRRW_0x305f9073 CSR[0x305]=0x800000a8 @10175ns,1 [trace exec_csr.cpp:79]"
0x8000009c,16,0.00000018,JALR,JALR,0x000300e7,CTRL,"SM 1 warp 3 0x8000009c              JALR_0x000300e7 JUMP=true, jumpTO 0x800000b8 @10225ns,1 [trace exec_salu.cpp:121]"
0x800000a0,8,0.00000009,ENDPRG,ENDPRG,0x0000400b,OTHER,"SM 1 warp 0 0x800000a0            ENDPRG_0x0000400b endprg @866288495ns,1 [trace warp_scheduler.cpp:50]"
0x800000b8,8,0.00000009,ADDI,ADDI,0x01c10113,OTHER,"SM 1 warp 3 0x800000b8              ADDI_0x01c10113 WB x[002]=0x7000081c @10315ns,1 [trace regfile.cpp:87]"
0x800000bc,8,0.00000009,ADDI,ADDI,0x7f040413,OTHER,"SM 1 warp 3 0x800000bc              ADDI_0x7f040413 WB x[008]=0x700027f0 @10355ns,1 [trace regfile.cpp:87]"
