rank,gap_ns,gap_cycles,sm,warp,time_ns,prev_pc,prev_op,curr_pc,curr_op,block,warp_in_block
48,5870,587.000,1,4,103555,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,3
49,5870,587.000,1,0,146695,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,7
50,5870,587.000,1,3,219415,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,2
51,5870,587.000,1,7,176275,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,6
52,5870,587.000,1,1,248995,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,0
53,5810,581.000,1,7,144375,0x800002b4,JOIN,0x800002b0,VLW12_V,0,6
54,5810,581.000,1,5,173955,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
55,5810,581.000,1,5,305245,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,4
56,5810,581.000,1,2,334855,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,1
57,5810,581.000,1,7,246675,0x800002b4,JOIN,0x800002b0,VLW12_V,0,6
58,5810,581.000,1,5,217095,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
59,5810,581.000,1,2,101235,0x800002b4,JOIN,0x800002b0,VLW12_V,0,1
60,5750,575.000,1,5,103005,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
61,5750,575.000,1,6,175725,0x800002b4,JOIN,0x800002b0,VLW12_V,0,5
62,5750,575.000,1,3,146145,0x800002b4,JOIN,0x800002b0,VLW12_V,0,2
63,5750,575.000,1,0,218865,0x800002b4,JOIN,0x800002b0,VLW12_V,0,7
64,5750,575.000,1,0,248445,0x800002b4,JOIN,0x800002b0,VLW12_V,0,7
65,5750,575.000,1,2,302925,0x800002b4,JOIN,0x800002b0,VLW12_V,0,1
66,5750,575.000,1,6,144735,0x800002b4,JOIN,0x800002b0,VLW12_V,0,5
67,5740,574.000,1,2,174315,0x800002b4,JOIN,0x800002b0,VLW12_V,0,1
68,5740,574.000,1,1,101595,0x800002b4,JOIN,0x800002b0,VLW12_V,0,0
69,5740,574.000,1,2,217455,0x800002b4,JOIN,0x800002b0,VLW12_V,0,1
70,5740,574.000,1,4,247035,0x800002b4,JOIN,0x800002b0,VLW12_V,0,3
71,5720,572.000,1,3,303285,0x800002b4,JOIN,0x800002b0,VLW12_V,0,2
72,5690,569.000,1,0,332535,0x800002b4,JOIN,0x800002b0,VLW12_V,0,7
73,5680,568.000,1,7,332895,0x800002b4,JOIN,0x800002b0,VLW12_V,0,6
74,5660,566.000,1,7,197145,0x800001e4,VADD_VV,0x800001e0,LW,0,6
75,5550,555.000,1,1,329355,0x800002b4,JOIN,0x800002b0,VLW12_V,0,0
76,5500,550.000,1,3,98055,0x800002b4,JOIN,0x800002b0,VLW12_V,0,2
77,5500,550.000,1,5,141195,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
78,5500,550.000,1,4,170775,0x800002b4,JOIN,0x800002b0,VLW12_V,0,3
79,5500,550.000,1,6,213915,0x800002b4,JOIN,0x800002b0,VLW12_V,0,5
80,5500,550.000,1,6,243495,0x800002b4,JOIN,0x800002b0,VLW12_V,0,5
