rank,gap_ns,gap_cycles,sm,warp,time_ns,prev_pc,prev_op,curr_pc,curr_op,block,warp_in_block
1,18610,1861.000,1,0,299745,0x800002b4,JOIN,0x800002b0,VLW12_V,0,7
2,18480,1848.000,1,5,299385,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
3,17940,1794.000,1,6,297525,0x80000274,VMSLT_VX,0x80000268,VLW12_V,0,5
4,17020,1702.000,1,7,297885,0x80000274,VMSLT_VX,0x80000268,VLW12_V,0,6
5,16740,1674.000,1,3,296115,0x80000274,VMSLT_VX,0x80000268,VLW12_V,0,2
6,16570,1657.000,1,2,295695,0x80000274,VMSLT_VX,0x80000268,VLW12_V,0,1
7,14560,1456.000,1,1,295575,0x8000028c,VAND_VV,0x80000288,LW,0,0
8,14450,1445.000,1,4,295815,0x8000028c,VAND_VV,0x80000288,LW,0,3
9,10110,1011.000,1,6,46995,0x800003dc,VADD_VX,0x800003d0,LW,0,5
10,9360,936.000,1,7,272865,0x800001e4,VADD_VV,0x800001e0,LW,0,6
11,9360,936.000,1,2,127425,0x800001e4,VADD_VV,0x800001e0,LW,0,1
12,9050,905.000,1,5,45765,0x800003dc,VADD_VX,0x800003d0,LW,0,4
13,8950,895.000,1,2,73935,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,1
14,8930,893.000,1,2,45225,0x80000414,LW,0x80000400,LW,0,1
15,8530,853.000,1,0,45405,0x800003c4,ADDI,0x800003c8,SW,0,7
16,8470,847.000,1,4,200145,0x800001e4,VADD_VV,0x800001e0,LW,0,3
17,8360,836.000,1,4,45445,0x8000034c,ADDI,0x80000350,SW,0,3
18,8190,819.000,1,1,45225,0x800003dc,VADD_VX,0x800003e0,LW,0,0
19,8140,814.000,1,3,126195,0x800001e4,VADD_VV,0x800001e0,LW,0,2
20,8140,814.000,1,6,271635,0x800001e4,VADD_VV,0x800001e0,LW,0,5
21,7980,798.000,1,3,45425,0x800003f4,ADDI,0x800003f8,SW,0,2
22,7930,793.000,1,3,271455,0x800001e4,VADD_VV,0x800001e0,LW,0,2
23,7930,793.000,1,6,126015,0x800001e4,VADD_VV,0x800001e0,LW,0,5
24,7760,776.000,1,2,271275,0x800001e4,VADD_VV,0x800001e0,LW,0,1
25,7760,776.000,1,7,125835,0x800001e4,VADD_VV,0x800001e0,LW,0,6
26,7680,768.000,1,7,45265,0x800003f4,ADDI,0x800003fc,CSRRS,0,6
27,7630,763.000,1,1,125655,0x800001e4,VADD_VV,0x800001e0,LW,0,0
28,7630,763.000,1,4,271095,0x800001e4,VADD_VV,0x800001e0,LW,0,3
29,7580,758.000,1,7,73975,0x800002b8,VSW12_V,0x800002c0,VMV_V_X,0,6
30,7270,727.000,1,0,198915,0x800001e4,VADD_VV,0x800001e0,LW,0,7
31,7120,712.000,1,2,198735,0x800001e4,VADD_VV,0x800001e0,LW,0,1
32,6970,697.000,1,5,198555,0x800001e4,VADD_VV,0x800001e0,LW,0,4
33,6810,681.000,1,1,198375,0x800001e4,VADD_VV,0x800001e0,LW,0,0
34,6410,641.000,1,4,124425,0x800001e4,VADD_VV,0x800001e0,LW,0,3
35,6410,641.000,1,1,269865,0x800001e4,VADD_VV,0x800001e0,LW,0,0
36,6250,625.000,1,5,124245,0x800001e4,VADD_VV,0x800001e0,LW,0,4
37,6250,625.000,1,0,269685,0x800001e4,VADD_VV,0x800001e0,LW,0,7
38,6190,619.000,1,6,70245,0x800002b4,JOIN,0x800002b0,VLW12_V,0,5
39,6110,611.000,1,3,69885,0x800002b4,JOIN,0x800002b0,VLW12_V,0,2
40,6110,611.000,1,4,71655,0x800002b4,JOIN,0x800002b0,VLW12_V,0,3
41,6080,608.000,1,0,124065,0x800001e4,VADD_VV,0x800001e0,LW,0,7
42,6080,608.000,1,5,269505,0x800001e4,VADD_VV,0x800001e0,LW,0,4
43,5900,590.000,1,0,99465,0x800002b4,JOIN,0x800002b0,VLW12_V,0,7
44,5900,590.000,1,4,142605,0x800002b4,JOIN,0x800002b0,VLW12_V,0,3
45,5900,590.000,1,7,215325,0x800002b4,JOIN,0x800002b0,VLW12_V,0,6
46,5900,590.000,1,5,244905,0x800002b4,JOIN,0x800002b0,VLW12_V,0,4
47,5900,590.000,1,3,172185,0x800002b4,JOIN,0x800002b0,VLW12_V,0,2
