pc,exec_count,stall_count,stall_sum_gap_ns,stall_mean_ns,stall_max_ns
0x800001c8,256,256,3520,13.75,30
0x8000043c,8,8,3300,412.5,1150
0x80000370,32,32,2050,64.0625,90
0x800000f8,8,8,2030,253.75,870
0x80000354,16,16,1400,87.5,1110
0x80000350,16,16,1370,85.625,100
0x8000037c,32,32,1370,42.8125,90
0x800000d0,8,8,1360,170.0,960
0x80000364,32,32,1320,41.25,80
0x80000358,16,16,1270,79.375,90
0x800003e4,8,8,1170,146.25,440
0x80000078,8,8,1130,141.25,390
0x80000148,16,16,1090,68.125,170
0x80000110,24,24,1040,43.333333333333336,60
0x800003bc,16,16,980,61.25,490
0x800003b8,32,32,970,30.3125,60
0x80000380,32,32,910,28.4375,90
0x80000128,16,16,800,50.0,550
0x80000024,8,8,780,97.5,100
0x800003a0,24,24,760,31.666666666666668,90
0x800003d8,8,8,750,93.75,110
0x8000036c,32,32,730,22.8125,90
0x80000000,8,8,720,90.0,100
0x80000034,16,16,720,45.0,100
0x80000388,16,16,720,45.0,110
0x80000408,8,8,720,90.0,90
0x8000041c,8,8,720,90.0,90
0x800001b0,8,8,720,90.0,90
0x80000368,32,32,710,22.1875,70
0x80000418,8,8,710,88.75,120
0x80000114,8,8,680,85.0,110
0x80000164,8,8,680,85.0,100
0x80000028,8,8,660,82.5,110
0x80000178,8,8,660,82.5,100
0x800003fc,16,16,650,40.625,130
0x8000042c,16,16,650,40.625,80
0x80000170,8,8,650,81.25,90
0x80000014,16,16,640,40.0,70
0x80000038,8,8,640,80.0,80
0x80000044,8,8,640,80.0,100
0x80000394,16,16,640,40.0,70
0x8000014c,8,8,640,80.0,80
0x80000158,8,8,640,80.0,80
0x80000444,8,8,630,78.75,350
0x80000144,16,16,630,39.375,110
0x8000003c,8,8,620,77.5,110
0x8000004c,8,8,620,77.5,80
0x800000c4,8,8,620,77.5,80
0x800001a4,16,16,620,38.75,90
0x80000048,8,8,600,75.0,80
0x80000100,8,8,590,73.75,80
0x80000404,16,16,540,33.75,80
0x800003d4,16,16,520,32.5,70
0x800003a4,24,24,520,21.666666666666668,80
0x800003c8,8,8,510,63.75,180
0x80000440,16,16,510,31.875,60
0x800001a8,8,8,510,63.75,80
0x80000050,8,8,500,62.5,70
0x80000384,16,16,500,31.25,120
0x80000004,8,8,480,60.0,80
0x80000008,8,8,480,60.0,70
0x80000020,16,16,480,30.0,40
0x80000040,8,8,480,60.0,100
0x80000080,8,8,480,60.0,60
0x80000090,8,8,480,60.0,60
0x800000bc,8,8,480,60.0,60
0x800001ac,8,8,480,60.0,100
0x80000120,32,32,450,14.0625,30
0x800003e8,16,16,450,28.125,60
0x80000154,8,8,440,55.0,70
0x80000104,8,8,430,53.75,80
0x80000398,16,16,430,26.875,100
0x800003a8,16,16,430,26.875,110
0x800000b8,16,16,420,26.25,50
0x80000430,16,16,410,25.625,60
0x800000c8,16,16,400,25.0,40
0x8000035c,16,16,400,25.0,40
0x80000374,16,16,400,25.0,40
0x800003ec,8,8,400,50.0,140
0x8000013c,16,16,400,25.0,50
0x80000378,16,16,390,24.375,50
0x80000140,8,8,390,48.75,60
0x8000009c,16,16,380,23.75,50
0x800001bc,16,16,380,23.75,50
0x800003f8,8,8,370,46.25,70
0x800003ac,24,24,370,15.416666666666666,50
0x8000000c,8,8,360,45.0,60
0x80000360,16,16,360,22.5,50
0x80000130,16,16,360,22.5,50
0x80000094,8,8,350,43.75,70
0x8000010c,24,24,350,14.583333333333334,30
0x800001d8,16,16,350,21.875,50
0x8000011c,16,16,340,21.25,90
0x800000c0,8,8,330,41.25,50
0x80000138,16,16,330,20.625,40
0x80000010,8,8,320,40.0,40
0x8000001c,16,16,320,20.0,30
0x8000002c,8,8,320,40.0,40
0x8000008c,8,8,320,40.0,40
0x800000d8,8,8,320,40.0,40
0x800000e8,8,8,320,40.0,40
0x80000390,8,8,320,40.0,60
0x80000420,8,8,320,40.0,60
0x80000168,8,8,320,40.0,50
0x80000174,8,8,320,40.0,40
0x8000017c,8,8,320,40.0,40
0x8000012c,16,16,310,19.375,40
