pc,count,inst_type_hint
0x8000019c,512,JAL
0x80000348,512,JAL
0x800001d0,512,SETRPC
0x800001d4,512,VBLT
0x800001b4,396,REGEXT
0x800001b8,272,VMV_V_X
0x80000184,256,BGE
0x8000018c,256,VADD_VV
0x80000190,256,VMUL_VX
0x80000194,256,VMUL_VX
0x80000198,256,VMV_V_X
0x800001c0,256,JOIN
0x800001c4,256,VADD12_VI
0x800001c8,256,VMV_V_X
0x800001cc,256,AUIPC
0x80000124,40,VLW_V
0x80000364,32,SETRPC
0x80000368,32,VBEQ
0x8000036c,32,JAL
0x8000037c,32,SETRPC
0x80000380,32,VBEQ
0x800003b8,32,LW
0x800003c0,32,JALR
0x80000110,24,VSW_V
0x80000120,24,REGEXT
0x80000014,16,CSRRS
0x8000001c,16,CSRRS
0x80000020,16,CSRRS
0x80000034,16,CSRRS
0x80000064,16,CSRRS
0x80000068,16,LW
0x8000006c,16,LW
0x80000070,16,LW
0x80000074,16,LW
0x80000098,16,CSRRW
0x800000c8,16,REGEXT
0x8000009c,16,JALR
0x800000cc,16,VMV_V_X
0x800000d4,16,LW
0x800000dc,16,LW
0x8000010c,16,REGEXT
0x800000e4,16,LW
0x800000ec,16,LW
0x800000f4,16,LW
0x800000fc,16,LW
0x80000108,16,JAL
0x8000034c,16,ADDI
0x80000350,16,SW
0x80000354,16,VADD_VX
0x80000358,16,ADDI
0x80000360,16,AUIPC
0x8000035c,16,VMV_V_X
0x80000370,16,ADDI
0x80000374,16,VMV_V_X
0x80000378,16,AUIPC
0x80000384,16,JAL
0x80000394,16,SETRPC
0x80000398,16,VBNE
0x8000039c,16,JAL
0x800003a0,16,JAL
0x800003cc,16,CSRRS
0x800003d0,16,LW
0x800003d4,16,CSRRS
0x800003e0,16,LW
0x800003e8,16,LW
0x800003f0,16,JALR
0x800003a4,16,JAL
0x800003b4,16,JOIN
0x800003bc,16,ADDI
0x8000011c,16,JAL
0x800003a8,16,JAL
0x800003fc,16,CSRRS
0x80000400,16,LW
0x80000404,16,CSRRS
0x80000410,16,LW
0x80000414,16,LW
0x8000042c,16,SETRPC
0x80000430,16,VBLT
0x80000440,16,LW
0x80000448,16,JALR
0x800003ac,16,JAL
0x80000128,16,LW
0x8000012c,16,LW
0x80000130,16,LW
0x80000134,16,LW
0x80000138,16,LW
0x8000013c,16,LW
0x80000144,16,JAL
0x800001d8,16,JAL
0x800001a4,16,LW
0x800001bc,16,JALR
0x80000000,8,AUIPC
0x80000004,8,ADDI
0x80000008,8,ADDI
0x8000000c,8,VSETVLI
0x80000010,8,LUI
0x80000018,8,ADDI
0x80000024,8,ADDI
0x80000028,8,MUL
0x8000002c,8,ADD
0x80000030,8,ADDI
0x80000038,8,ADDI
0x8000003c,8,MUL
0x80000040,8,ADD
0x80000044,8,AUIPC
0x80000048,8,ADDI
0x8000004c,8,AUIPC
0x80000050,8,ADDI
0x80000054,8,BEQ
0x80000078,8,AUIPC
0x8000007c,8,ADDI
0x80000080,8,AUIPC
0x80000084,8,ADDI
0x80000088,8,SW
0x8000008c,8,SW
0x80000090,8,AUIPC
0x80000094,8,ADDI
0x800000b8,8,ADDI
